,char,IndvRawFrequency,cumulativeRawFrequency,Pinyin,English,kDefinition,kHanyuPinyin,kMandarin,kTotalStrokes,kSimplifiedVariant,ucn
554,讲,73220,78.011536690675,jiang3,to talk/speech/to speak/to tell/to explain,explain; discuss; talk,,jiǎng,6,,U+8BB2
555,型,73216,78.049373631094,xing2,model,"pattern, model, type; law; mold",10436.110:xíng,xíng,9,,U+578B
556,料,72778,78.086984219625,liao4,material/stuff/grain/feed/to expect/to anticipate/to guess,"consider, conjecture; materials, ingredients","32253.040:liào,liáo",liào,10,,U+6599
557,终,72533,78.124468195797,zhong1,end/finish,"end; finally, in the end",,zhōng,8,,U+7EC8
558,答,72421,78.161894292035,da1/da2,"to answer/agree, reply/answer/return/respond/echo","answer, reply; return; assent to","52968.010:dá,dā",dá,12,,U+7B54
559,紧,72300,78.199257857271,jin3,tight/nervous/strict,"tense, tight, taut; firm, secure",,jǐn,10,,U+7D27
560,黄,72199,78.236569227208,huang2,(surname)/sulfur/yellow,yellow; surname,74596.010:huáng,huáng,11,U+9EC4,U+9EC4
561,绝,72074,78.273815999004,jue2,cut short/extinct/to disappear/to vanish/absolutely/by no means,"to cut, sever, break off, terminate",,jué,9,,U+7EDD
562,奇,71919,78.310982669104,ji1/qi2,"odd (Num), strange/odd/weird/wonderful","strange, unusual, uncanny, occult","10533.040:qí,jī,ǎi,yǐ",qí,8,,U+5947
563,察,71894,78.348136419576,cha2,examine/inquire/observe/inspect/look into/to examine,"examine, investigate; notice","20948.080:chá,cuì",chá,14,,U+5BDF
564,母,71462,78.385066918869,mu3,female/mother,mother; female elders; female,"42380.030:mǔ,mú,wǔ,wú",mǔ,5,,U+6BCD
565,京,71245,78.421885275788,jing1,capital/Beijing (abbrev.),capital city,10284.060:jīng,jīng,8,,U+4EAC
566,段,71172,78.458665907392,duan4,(surname)/paragraph/section/segment,"section, piece, division",32155.100:duàn,duàn,9,,U+6BB5
567,依,70632,78.495167475024,yi1,according to/depend on/near to,"rely on, be set in; consent, obey a wish","10152.080:yī,yǐ",yī,8,,U+4F9D
568,批,70580,78.531642169828,pi1,"to ascertain/(measure word for batches, lots)/to act on/to criticize/to pass on","comment, criticize; wholesale","31835.050:pī,pí",pī,7,,U+6279
569,群,70459,78.568054333631,qun2,crowd/flock/group,"group, crowd, multitude, mob",,qún,13,,U+7FA4
570,项,70453,78.604463396724,xiang4,(surname)/back of neck/item/thing,"neck, nape of neck; sum; funds",,xiàng,9,,U+9879
571,故,70067,78.640672980754,gu4,happening/instance/reason/cause/deceased/old,"ancient, old; reason, because",21453.050:gù,gù,9,,U+6545
572,按,69984,78.676839671619,an4,to press (with the hand)/to push/to control/to restrain/to check/pressing down (brush movement in painting)/according to/in the light of,"put hand on, press down with hand",31876.010:àn,àn,9,,U+6309
573,河,69687,78.712852877298,he2,river,river; stream; the Yellow River,31582.030:hé,hé,8,,U+6CB3
574,米,69668,78.74885626406,mi3,(measure word) meter/rice,hulled or husked uncooked rice,53141.010:mǐ,mǐ,6,,U+7C73
575,围,69641,78.784845697623,wei2,to circle/to surround,"surround, encircle, corral",,wéi,7,,U+56F4
576,江,69602,78.820814976566,jiang1,river,large river; the Yangzi; surname,31551.030:jiāng,jiāng,6,,U+6C5F
577,织,69482,78.856722241292,zhi1,weave,"weave, knit; organize, unite",,zhī,8,,U+7EC7
578,害,69462,78.892619170316,hai4,to do harm to/to cause trouble to/harm/evil/calamity,"injure, harm; destroy, kill","20929.050:hài,hé",hài,10,,U+5BB3
579,斗,69456,78.928512998629,dou3/dou4,"Chinese peck, to fight/to battle/to struggle/to incite, fight/incite",Chinese peck; liquid measure,"32252.010:dǒu,zhǔ,dòu",dòu dǒu,4,U+6597,U+6597
580,双,69440,78.96439855838,shuang1,two/double/pair/both,"set of two, pair, couple; both",,shuāng,4,U+53CC,U+53CC
581,境,69360,79.000242775321,jing4,border/place/condition/boundary/circumstances/territory,"boundary, frontier; area, region",10482.060:jìng,jìng,14,,U+5883
582,客,69108,79.035956762407,ke4,customer/visitor/guest,"guest, traveller; customer","20927.130:kè,qià",kè,9,,U+5BA2
583,纪,69045,79.07163819203,ji4,discipline/age/era/period/order/record,"record, annal, historical account",,jì,6,,U+7EAA
584,采,68946,79.107268459924,cai3/cai4,"to pick/to pluck/to collect/to select/to choose/to gather, affairs/gather, allotment to a feudal noble","collect, gather; pick, pluck","63898.020:cǎi,cài",cǎi,8,U+91C7,U+91C7
585,举,68924,79.142887358546,ju3,to lift/to hold up/to cite/to enumerate/to act/to raise/to choose/to elect,"raise, lift up; recommend",,jǔ,9,,U+4E3E
586,杀,68776,79.178429772967,sha1,to kill/to murder/to slaughter,"kill, slaughter, murder; hurt",,shā,6,,U+6740
587,攻,68747,79.21395720062,gong1,to attack/to accuse/to study,"attack, assault; criticize",21449.060:gōng,gōng,7,,U+653B
588,父,68576,79.249396258015,fu4,father,father; Kangxi radical 88,"32039.010:fù,fǔ",fù,4,,U+7236
589,苏,68487,79.284789321532,su1,"loquacious/nag, revive, (plant)/place name/revive","revive, resurrect; a species of thyme; transliteration of 'Soviet'",,sū,7,U+82CF,U+82CF
590,密,68475,79.320176183628,mi4,secret/confidential/close/thick/dense,"dense, thick, close; intimate",20940.060:mì,mì,11,,U+5BC6
591,低,68424,79.355536689683,di1,to lower (one's head)/to let droop/to hang down/low/to incline/beneath/low,"low; to lower, hang, bend, bow",10137.040:dī,dī,7,,U+4F4E
592,朝,68380,79.390874457191,chao2/zhao1,"to face/towards/facing/direct/a dynasty/the imperial court/(abbr.) Korea, esp. N. Korea, morning",dynasty; morning,"32084.080:zhāo,cháo,zhū",cháo,12,,U+671D
593,友,68196,79.426117136234,you3,friend,"friend, companion; fraternity",10391.010:yǒu,yǒu,4,,U+53CB
594,诉,68147,79.461334492806,su4,complain/sue/tell,accuse; sue; inform; narrate,,sù,7,,U+8BC9
595,止,68082,79.496518258344,zhi3,to stop/toe,"stop, halt, desist; detain",21435.030:zhǐ,zhǐ,4,,U+6B62
596,细,67915,79.531615720765,xi4,fine/minutely/thin/slender,"fine, tiny; slender, thin",,xì,8,,U+7EC6
597,愿,67915,79.566713183186,yuan4,"sincere/willing, hope/wish/desire/ready/willing","sincere, honest, virtuous",42333.100:yuàn,yuàn,14,U+613F,U+613F
598,千,67843,79.601773437077,qian1,"thousand, a swing","thousand; many, numerous; very; (Cant.) a cheater, swindler",10059.010:qiān,qiān,3,U+5343,U+5343
599,值,67732,79.636776327818,zhi2,value/(to be) worth/to happen,price,10171.080:zhí,zhí,10,,U+503C
600,仍,67490,79.671654156556,reng2,still/yet/to remain,"yet, still, as ever; again; keep -ing, continuing",10110.030:réng,réng,4,,U+4ECD
601,男,67405,79.706488058558,nan2,male,"male, man; son; baron; surname",42529.050:nán,nán,7,,U+7537
602,钱,67304,79.741269765261,qian2,(surname)/coin/money,"money, currency, coins",,qián,10,,U+94B1
603,破,67268,79.7760328677,po4,to break/to split/broken/damaged/worn out,"break, ruin, destroy; rout",42426.030:pò,pò,10,,U+7834
604,网,67118,79.810718452368,wang3,"net/network, a net",net; network; Kangxi radical 122,,wǎng,6,U+7F51,U+7F51
605,热,67051,79.845369412433,re4,heat/to heat up/fervent/hot (of weather)/warm up,hot; heat; fever; restless; zeal,,rè,10,U+70ED,U+70ED
606,助,66867,79.879925284032,zhu4,to help/to assist,"help, aid, assist","10368.080:zhù,chú",zhù,7,,U+52A9
607,倒,66634,79.914360744695,dao3/dao4,"to fall/to collapse/to topple/to change/to fail/bankrupt, upset/turn over/to tip/to pour/to go home/to the contrary/inverted",fall over; lie down; take turns,"10174.020:dǎo,dào",dào,10,,U+5012
608,育,66551,79.948753312192,yu4,nourish/to rear,"produce, give birth to; educate","32052.050:yù,zhòu",yù,8,,U+80B2
609,属,66374,79.98305440872,shu3/zhu3,"belong to/category/be subordinate to/genus (taxonomy)/be born in the year of (one of the 12 animals)/family members/dependants, join together/fix one's attention on/concentrate on","class, category, type; belong to",,shǔ,12,U+5C5E,U+5C5E
610,坐,66293,80.017313645653,zuo4,"to sit/to take a seat/to take (a bus, airplane etc.)","sit; seat; ride, travel by",10423.120:zuò,zuò,7,,U+5750
611,帝,66035,80.05143955202,di4,emperor,"supreme ruler, emperor; god",10738.020:dì,dì,9,,U+5E1D
612,限,66018,80.08555667304,xian4,limit/bound,"boundary, limit, line","64128.060:xiàn,wěn",xiàn,8,,U+9650
613,船,65883,80.119604028067,chuan2,a boat/vessel/ship,"ship, boat, vessel",53060.010:chuán,chuán,11,,U+8239
614,脸,65727,80.153570764613,lian3,face,face; cheek; reputation,,liǎn,11,,U+8138
615,职,65272,80.187302363923,zhi2,office/duty,"duty, profession; office, post",,zhí,11,U+804C,U+804C
616,速,65094,80.220941975479,su4,fast/rapid/quick,"quick, prompt, speedy",63838.010:sù,sù,10,,U+901F
617,刻,65015,80.254540761009,ke4,quarter (hour)/(a measure word)/to carve/to engrave/to cut/oppressive,"carve, engrave; quarter hour","10337.020:kè,kēi",kè,8,,U+523B
618,乐,64965,80.288113707282,le4/yue4,"(surname)/happy/laugh/cheerful, (surname)/music","happy, glad; enjoyable; music",,lè,5,U+4E50,U+4E50
619,否,64772,80.321586914025,fou3/pi3,"to negate/to deny/not, clogged/evil","not, no, negative; final particle","10586.050:fǒu,pǐ",fǒu,7,,U+5426
620,刚,64622,80.354982602997,gang1,hard/firm/strong/just/barely/exactly,"hard, tough, rigid, strong",,gāng,6,,U+521A
621,威,64559,80.388345734506,wei1,power/might/prestige,"pomp, power; powerful; dominate",21404.010:wēi,wēi,9,,U+5A01
622,毛,64522,80.421689744964,mao2,hair/pore/fur,"hair, fur, feathers; coarse","31994.010:máo,mào",máo,4,,U+6BDB
623,状,64495,80.455019802224,zhuang4,accusation/suit/state/condition/strong/great,form; appearance; shape; official,,zhuàng,7,,U+72B6
624,率,64453,80.488328154509,lu:4/shuai4/lv4,"rate/frequency, to lead/command",to lead; ratio; rate; limit,"10289.030:shuài,lǜ,lüè",lǜ,11,,U+7387
625,甚,64438,80.521628755016,shen4,very/extremely/more (than),great extent; considerably,10025.050:shèn,shén,9,,U+751A
626,独,64201,80.554806877447,du2,alone/independent/single/sole/only,"alone, single, solitary, only",,dú,9,U+72EC,U+72EC
627,球,63913,80.587836165759,qiu2,ball/sphere,"ball, sphere, globe; round",21114.150:qiú,qiú,11,,U+7403
628,般,63739,80.620775533457,ban1,sort/kind/class/way/manner,"sort, manner, kind, category","53057.080:pán,bān,bǎn,bō",bān,10,,U+822C
629,普,63570,80.653627564467,pu3,general/popular/everywhere/universal,"universal, general, widespread",21521.020:pǔ,pǔ,12,,U+666E
630,怕,63520,80.686453756221,pa4,to be afraid/to fear,"to fear, be afraid of; apprehensive","42287.010:pà,bó",pà,8,,U+6015
631,弹,63417,80.719226719106,dan4/tan2,"crossball/bullet/shot/shell/ball, impeach/to pluck a string/to play (a stringed musical instrument with fingers)","pellet, bullet, shot, shell",,dàn,11,U+5F39,U+5F39
632,校,63200,80.751887539617,jiao4/xiao4,"proofread/to check/to compare, school",school; military field officer,"21205.080:jiào,xiào,jiǎo,qiāo",xiào,10,,U+6821
633,苦,63194,80.784545259417,ku3,bitter/intensely/miserable/painful,"bitter; hardship, suffering","53186.020:kǔ,gǔ,hù",kǔ,8,,U+82E6
634,创,63156,80.817183341382,chuang1/chuang4,"a wound/cut/injury/trauma, begin/initiate/inaugurate/start/create","establish, create; knife cut",,chuàng,6,,U+521B
635,假,62691,80.849581118259,jia3/jia4,"fake/false/artificial/to borrow/if/suppose, vacation","falsehood, deception; vacation","10196.020:jiǎ,jià,jie,xià,xiá,gé",jiǎ,11,,U+5047
